
THE RESULT ARE:
BUS DATA
BUS     VOLTAGE      ANGLE(DEGS.)      BUS P          BUS Q
  1  9.69450e-01       -4.56379   -1.60000e+00   -8.00000e-01
  2  1.18279e+00       13.98241   -2.00000e+00   -1.00000e+00
  3  1.05710e+00       -4.10803   -3.70000e+00   -1.30000e+00
  4  1.15000e+00       17.30142    5.00000e+00    1.94875e+00
  5  1.05000e+00        0.00000    2.52426e+00    1.60375e+00
 LINE FLOW 
 1       1          2-1.459273e+00-7.181867e-01 4.115343e-02 5.731082e-02                2          1 1.500427e+00 7.754975e-01
 2       1          3-2.153295e-02-2.243786e-01 0.000000e+00 2.046609e-02                3          1 2.153295e-02 2.448447e-01
 3       2          3 1.260870e+00 2.081887e-01 3.485310e-02-1.952610e-01                3          2-1.226017e+00-4.034497e-01
 4       4          2 5.000001e+00 1.948744e+00 0.000000e+00 3.266110e-01                2          4-5.000001e+00-1.622133e+00
 5       5          3 2.524265e+00 1.603742e+00 0.000000e+00 2.433554e-01                3          5-2.524265e+00-1.360387e+00
