
THE RESULT ARE:
BUS DATA
BUS     VOLTAGE      ANGLE(DEGS.)      BUS P          BUS Q
  1  9.88847e-01       -3.61096   -1.60000e+00   -8.00000e-01
  2  1.08155e+00        9.15401   -2.00000e+00   -1.00000e+00
  3  1.05199e+00       -3.90971   -3.70000e+00   -1.30000e+00
  4  1.05000e+00       13.13036    5.00000e+00    1.57002e+00
  5  1.05000e+00        0.00000    2.39098e+00    1.76515e+00
 LINE FLOW 
 1       1          2-1.552362e+00-6.094500e-01 1.536500e-02-1.373872e-01                2          1 1.567727e+00 4.720628e-01
 2       1          3 2.387901e-02-2.748418e-01 0.000000e+00 1.767921e-02                3          1-2.387901e-02 2.925210e-01
 3       2          3 1.349270e+00-3.818315e-02 1.494181e-02-2.591166e-01                3          2-1.334328e+00-2.209335e-01
 4       4          2 4.999999e+00 1.570026e+00 0.000000e+00 3.736646e-01                2          4-4.999999e+00-1.196362e+00
 5       5          3 2.390983e+00 1.765142e+00 0.000000e+00 2.403290e-01                3          5-2.390983e+00-1.524813e+00
