
THE RESULT ARE:
BUS DATA
BUS     VOLTAGE      ANGLE(DEGS.)      BUS P          BUS Q
  1  1.06042e+00       -4.37747   -1.60000e+00   -8.00000e-01
  2  1.10067e+00       15.98698   -2.00000e+00   -1.00000e+00
  3  1.07924e+00       -4.00328   -3.70000e+00   -1.30000e+00
  4  1.05000e+00       19.89417    5.00000e+00    2.92756e-01
  5  1.05000e+00        0.00000    2.51153e+00    8.63002e-01
 LINE FLOW 
 1       1          2-1.568964e+00-2.411052e-01 7.376003e-02-5.926256e-01                2          1 1.642724e+00-3.515204e-01
 2       1          3-2.971177e-02-6.111726e-01 2.015233e-04-1.143561e+00                3          1 2.991329e-02-5.323887e-01
 3       2          3 1.311345e+00-5.126708e-01 7.179892e-02-7.412357e-01                3          2-1.239546e+00-2.285650e-01
 4       4          2 5.000001e+00 2.927506e-01 0.000000e+00 3.412826e-01                2          4-5.000001e+00 4.853201e-02
 5       5          3 2.511530e+00 8.630008e-01 0.000000e+00 1.919000e-01                3          5-2.511530e+00-6.711007e-01
