
THE RESULT ARE:
BUS DATA
BUS     VOLTAGE      ANGLE(DEGS.)      BUS P          BUS Q
  1  7.96204e-01       -5.33310   -1.60000e+00   -8.00000e-01
  2  1.06491e+00       18.60581   -2.00000e+00   -1.00000e+00
  3  1.02201e+00       -4.41093   -3.70000e+00   -1.30000e+00
  4  1.05000e+00       22.64442    5.00000e+00    2.68246e+00
  5  1.05000e+00        0.00000    2.62006e+00    2.78400e+00
 LINE FLOW 
 1       1          2-1.341807e+00-5.499470e-01 0.000000e+00 8.505220e-01                2          1 1.341807e+00 1.400469e+00
 2       1          3-3.459416e-02-4.746255e-01 0.000000e+00 1.352392e-01                3          1 3.459416e-02 6.098647e-01
 3       2          3 1.324301e+00 4.118071e-01 0.000000e+00 5.449948e-01                3          2-1.324301e+00 1.331878e-01
 4       4          2 4.999997e+00 2.682453e+00 0.000000e+00 4.380116e-01                2          4-4.999997e+00-2.244441e+00
 5       5          3 2.620057e+00 2.783998e+00 0.000000e+00 3.976865e-01                3          5-2.620057e+00-2.386312e+00
