
THE RESULT ARE:
BUS DATA
BUS     VOLTAGE      ANGLE(DEGS.)      BUS P          BUS Q
  1  9.59254e-01      -32.59423   -2.50000e-01   -2.00000e-01
  2  1.00119e+00      -15.78603    2.20000e-01    1.30000e-01
  3  9.71329e-01      -30.92888   -2.50000e-01    0.00000e+00
  4  1.52904e+00      -37.46336    0.00000e+00    1.00000e+00
  5  5.25488e-01       24.04921    2.33000e-01   -1.00000e-01
  6  1.23052e+00      -39.41550   -1.50000e-01   -1.00000e-01
  7  1.00000e+00      -43.47887   -2.00000e-01   -2.60368e-02
  8  1.00000e+00        0.00000    5.35617e-01    5.48820e-02
 LINE FLOW 
 1       1          2-2.086897e-01 6.003380e-04 0.000000e+00 6.298554e-02                2          1 2.086897e-01 6.238520e-02
 2       1          4 5.894182e-02-2.562619e-01 0.000000e+00 1.587166e-01                4          1-5.894182e-02 4.149784e-01
 3       1          7 8.787772e-02-1.058975e-02 0.000000e+00 1.755014e-02                7          1-8.787772e-02 2.813989e-02
 4       1          8-1.705402e-01 3.696060e-02 0.000000e+00 1.002682e-01                8          1 1.705402e-01 6.330761e-02
 5       2          3 2.433100e-01 6.097895e-02 0.000000e+00 6.553620e-02                3          2-2.433100e-01 4.557252e-03
 6       2          8-2.618946e-01 3.745800e-02 0.000000e+00 7.261801e-02                8          2 2.618946e-01 3.516001e-02
 7       3          4 5.409968e-02-1.703071e-01 0.000000e+00 1.057352e-01                4          3-5.409968e-02 2.760423e-01
 8       3          5-1.377663e-01 2.144118e-01 0.000000e+00 2.088788e-01                5          3 1.377663e-01-5.533010e-03
 9       3          6 7.579672e-02-1.025602e-01 0.000000e+00 4.011598e-02                6          3-7.579672e-02 1.426762e-01
10       4          6 4.253987e-02 3.036714e-01 0.000000e+00 6.059384e-02                6          4-4.253987e-02-2.430775e-01
11       5          6 6.910837e-02-6.991636e-02 9.700535e-02 3.762744e-03                6          5 2.789699e-02 7.367910e-02
12       5          8 1.979388e-02-5.303729e-02 1.581952e-02-1.951225e-02                8          5-3.974363e-03 3.352504e-02
13       6          7 3.085245e-02-5.120194e-02 3.559649e-03-1.415658e-01                7          6-2.729280e-02-9.036388e-02
14       7          8-9.604876e-02 3.222378e-02 1.646231e-02 2.316235e-02                8          7 1.125111e-01-9.061435e-03
