
THE RESULT ARE:
BUS DATA
BUS     VOLTAGE      ANGLE(DEGS.)      BUS P          BUS Q
  1  8.62151e-01       -4.77853   -1.60000e+00   -8.00000e-01
  2  1.07792e+00       17.85349   -2.00000e+00   -1.00000e+00
  3  1.03641e+00       -4.28193   -3.70000e+00   -1.30000e+00
  4  1.05000e+00       21.84328    5.00000e+00    1.81306e+00
  5  1.05000e+00        0.00000    2.57943e+00    2.29939e+00
 LINE FLOW 
 1       1          2-1.423370e+00-5.428341e-01 4.741991e-02 2.634788e-01                2          1 1.470790e+00 8.063129e-01
 2       1          3-2.045697e-02-3.967681e-01 0.000000e+00 8.039069e-02                3          1 2.045697e-02 4.771588e-01
 3       2          3 1.341762e+00-2.379566e-04 4.160047e-02-4.116440e-02                3          2-1.300162e+00-4.092644e-02
 4       4          2 5.000001e+00 1.813045e+00 0.000000e+00 3.848276e-01                2          4-5.000001e+00-1.428218e+00
 5       5          3 2.579429e+00 2.299391e+00 0.000000e+00 3.249066e-01                3          5-2.579429e+00-1.974484e+00
